wind_level,obstacle_density,planner,weighted_coverage_mean,weighted_coverage_ci95,safe_weighted_coverage_mean,safe_weighted_coverage_ci95,coverage_ratio_mean,coverage_ratio_ci95,energy_used_mean,energy_used_ci95,planned_policy_budget_mean,planned_policy_budget_ci95,final_battery_mean,final_battery_ci95,reserve_margin_mean,reserve_margin_ci95,mission_time_mean,mission_time_ci95,path_risk_accumulated_mean,path_risk_accumulated_ci95,clearance_violation_rate_mean,clearance_violation_rate_ci95,reserve_shortfall_probability_mean,reserve_shortfall_probability_ci95,runtime_seconds_mean,runtime_seconds_ci95,runtime_seconds_q95,runtime_seconds_q99,runtime_seconds_max,planner_replan_budget_seconds_mean,planner_replan_budget_seconds_ci95,replan_count_mean,replan_count_ci95,replan_latency_mean_mean,replan_latency_mean_ci95,replan_latency_mean_q95,replan_latency_mean_q99,replan_latency_mean_max,replan_latency_p95_mean,replan_latency_p95_ci95,replan_latency_p95_q95,replan_latency_p95_q99,replan_latency_p95_max,replan_latency_p99_mean,replan_latency_p99_ci95,replan_latency_p99_q95,replan_latency_p99_q99,replan_latency_p99_max,replan_latency_max_mean,replan_latency_max_ci95,replan_latency_max_q95,replan_latency_max_q99,replan_latency_max_max,candidate_expansions_mean,candidate_expansions_ci95,risk_evals_mean,risk_evals_ci95,unified_eval_count_mean,unified_eval_count_ci95,cache_hit_rate_mean,cache_hit_rate_ci95,pruning_ratio_mean,pruning_ratio_ci95,packing_attempts_mean,packing_attempts_ci95,packing_accepts_mean,packing_accepts_ci95,packing_added_value_mean,packing_added_value_ci95,packing_attempts_per_replan_mean,packing_attempts_per_replan_ci95,packing_accepts_per_replan_mean,packing_accepts_per_replan_ci95,packing_added_value_per_replan_mean,packing_added_value_per_replan_ci95,packing_added_value_per_total_value_mean,packing_added_value_per_total_value_ci95,packing_accept_rate_mean,packing_accept_rate_ci95,return_success_rate,return_failure_rate,mission_success_rate,battery_violation_rate,reserve_shortfall_rate,emergency_abort_rate,clearance_violation_rate,n
severe,cluttered,RAWA-NoRisk-EqEval,0.7160211940508782,0.013185495916795121,0.7160211940508782,0.013185495916795121,0.665625,0.013834495773431165,997.9709600363191,3.0356765573244746,1046.1114536915377,3.1171449443208634,202.02903996368096,3.0356765573244644,122.02903996368096,3.0356765573244635,105.88242274222274,1.2511792681943634,0.2743380745421806,0.03146827889260949,0.014369051474095552,0.0019099694401688652,5.681495053667231e-05,1.1946146268482473e-05,18.252889649678643,0.6341967271895368,21.859915241174168,24.15440313751227,24.72631159698357,1.75,0.0,22.3,0.4427038647497973,0.814775119780742,0.01390882121810346,0.9016138212695902,0.914320925421003,0.9155337456268844,1.7508731928620547,0.009643470567756296,1.7610578396666097,1.7615744001615967,1.7616651064134203,1.7572465771860057,0.0024346586078896285,1.769613049757434,1.7769066416577435,1.7812389807309954,1.7588944654649823,0.0016323536441197003,1.772787975371466,1.7827856939221964,1.78833922999911,614519.2666666667,14488.167283372359,614519.2666666667,14488.167283372359,2411765.6666666665,32089.93220065373,1.0,0.0,0.46439274228996946,0.007363983426236096,1182727.1333333333,15496.282302344918,4319.016666666666,165.64236155551328,8371.175,307.00601249300166,53290.41575910066,1047.286955156241,193.08081365179018,5.189727373898761,374.599013896188,9.984834531081688,131.7087975219434,4.667535649698948,0.0036405322170785567,0.00011288615475289668,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,cluttered,RAWA-NoPacking-EqEval,0.6263807663318877,0.012774985500437524,0.6263807663318877,0.012774985500437524,0.5645833333333333,0.014837391528914291,1070.8306850686781,3.280043114825963,1116.430298729189,4.942756539393812,129.16931493132182,3.2800431148259785,49.16931493132181,3.2800431148259785,105.2546476091364,1.248312431767603,0.26735673756027073,0.02828407037960808,0.016266838616623515,0.002059552576308104,0.02295086708991586,0.004071737968683076,7.441425525096323,0.28098167147360936,8.901363732948083,9.689908621267529,10.293229314964265,1.75,0.0,19.066666666666666,0.4747965289252573,0.3890692852267958,0.009106228142100112,0.44953328520212754,0.46406550217415155,0.4676047790007115,0.8721591818615949,0.013200399587151313,0.9667120686770065,1.0159509486262686,1.0173570699989796,0.8971436324261789,0.014610506695070233,0.9881035126446512,1.0537118149977933,1.0814599965076197,0.9034409916319419,0.015273794981280533,0.9981191132130334,1.0654940434161106,1.099029598000925,1136679.3333333333,31717.301960401343,1136679.3333333333,31717.301960401343,2273358.6666666665,63434.603920802685,1.0,0.0,0.5073630902287377,0.006110945658656798,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,cluttered,RAWA-NoBeam-EqEval,0.7273924318011364,0.015162619781816345,0.7273924318011364,0.015162619781816345,0.6739583333333333,0.014729864124562056,1062.1001567962198,5.671347344304575,1110.973907015675,7.140402828106075,137.8998432037802,5.671347344304574,57.89984320378017,5.671347344304573,110.80678233325524,1.3286042398009443,0.20911959049609988,0.02550557631455363,0.010333933025846185,0.001462125093159146,0.017581842341763753,0.0040813737940202065,12.65562285183114,0.6124366581825432,17.869396422072896,18.209010453631638,18.249749601993244,1.75,0.0,22.566666666666666,0.4713556519859858,0.5573419126761137,0.019241838285611188,0.7005247730292388,0.7386943154110451,0.738760506734252,1.2541987731601207,0.08069698220087702,1.8365586692927172,1.8901181935156923,1.9001944186049504,1.4268005768483756,0.08133547209512018,1.8972916749718132,1.9497086319890333,1.9866956093441688,1.4700139857178631,0.0822706867685587,1.9112828675424685,1.9617515744507545,1.998399427975528,482053.7166666667,12021.185174170185,482053.7166666667,12021.185174170185,2293695.4833333334,47780.18820740359,1.0,0.0,0.17629427506477063,0.00838424094299148,1329588.05,24736.96010766804,1651.9833333333333,87.76385196956,3317.275,181.44730591752753,58966.42830955307,269.1005818799983,72.67074200897979,2.8678519615879523,145.93821316886567,6.0904652314786105,52.080054544570054,2.6658200782730708,0.0012321442434455351,4.788358515941279e-05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,cluttered,RAWA-RHP,0.7507017899734783,0.013290627200065377,0.7507017899734783,0.013290627200065377,0.703125,0.014227255984662233,1066.224373499794,3.3929868769782257,1115.8246372346518,4.653745995790046,133.7756265002061,3.3929868769782185,53.77562650020607,3.392986876978219,112.64090977023285,1.3293452960158332,0.24797732631263542,0.029843905215845276,0.012146695945848952,0.0017108783230609962,0.01820038575519885,0.004489413568200399,18.55452986382103,0.6026119239398965,22.91651369960164,23.84433124390547,24.20368330500787,1.75,0.0,23.5,0.45527219150919146,0.7871497364351184,0.014103570514809838,0.8738753756837412,0.8869190066848641,0.896185768664711,1.7553686121718783,0.0005932061647159243,1.7613662692089562,1.7633048465890753,1.7659636504016816,1.7586086079487966,0.001804560748033367,1.7737234718189283,1.784989233033132,1.7866463268274675,1.7595423512199584,0.0022179956730275377,1.7795261610212036,1.791584156990284,1.7937995119718837,1003451.0333333333,29054.026148987356,1003451.0333333333,29054.026148987356,2747132.283333333,65418.713751903015,1.0,0.0,0.6807329379593259,0.007709023548118622,740230.2166666667,17978.16100257922,3852.616666666667,126.64505067925784,7246.958333333333,278.28291054078215,31619.728052063834,816.6603953337225,163.7523901856823,3.732653979923457,308.21453474025475,9.692913332045892,113.83018764869111,3.842617691629413,0.005200272348863474,0.00010213535500300141,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,cluttered,RAWA-BlindReserve-EqEval,0.7066391958435229,0.013895598643788202,0.7066391958435229,0.013895598643788202,0.6520833333333333,0.014150075445820438,1005.3244486328075,3.7182728964174276,1051.6709894676205,5.275262442647928,194.67555136719255,3.718272896417426,114.67555136719255,3.718272896417426,105.63378123182679,1.3769378154234881,0.2412193350988542,0.032589422307222074,0.01273831255049751,0.0020034867174835535,0.00010395177105050389,1.9866693478304196e-05,18.049205134294848,0.582472079083764,22.13046436447767,23.090591932724926,23.61391527397791,1.75,0.0,21.866666666666667,0.452802414266254,0.8228084581435872,0.013454837842067456,0.908960230585299,0.9284014928187242,0.9443064864375628,1.754324923552243,0.00037278932706784015,1.7578488087834558,1.7583751835168804,1.7587674030219205,1.7569005019087442,0.0011192876167631126,1.763819126754446,1.7729751601110095,1.7742995794082526,1.7576034643755216,0.0013934526304495536,1.7663122360099806,1.7781218165252357,1.7799927259911783,359784.73333333334,9874.187060014146,359784.73333333334,9874.187060014146,2022809.5,47394.033287400816,1.0,0.0,0.5679419612895159,0.008281197377236116,1303240.0333333334,32272.691404665537,7311.333333333333,241.20594630904088,14707.933333333332,528.3664057334419,59679.87771818028,1124.4866635481683,333.6764174941509,6.651253301099777,672.4132960502187,19.418960271095752,231.0826610732481,7.388116255812202,0.005596174679450959,7.256224445176364e-05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,sparse,RAWA-RHP,0.8172092968804944,0.012327481137178575,0.8172092968804944,0.012327481137178575,0.7729166666666667,0.014475861052162205,1068.9568490449883,2.752803443343232,1118.5962149505358,3.7340990139566097,131.04315095501164,2.7528034433432325,51.04315095501163,2.752803443343232,116.8888606157416,1.2362163914298159,0.17623549438069114,0.021934417806302973,0.007571004220682696,0.0010599302927809732,0.019940123998105817,0.004470970906809788,20.384399193984184,0.5708117062885181,23.68582886830263,25.285334897745635,25.289973180973902,1.75,0.0,25.733333333333334,0.46322755366919055,0.7922975266298136,0.01790447630123297,0.8849064977916679,0.9225641687361964,0.9242048371880728,1.755350652952232,0.0006910499823533917,1.7620134302560473,1.7650545254509489,1.766573808636167,1.7579079880866821,0.001469024949308554,1.7719711257883464,1.7776920254893718,1.7777886602282524,1.7586302073361972,0.0017085713721015075,1.7741922925779363,1.7818137311295141,1.7829838379984722,1024798.85,37061.2444772382,1024798.85,37061.2444772382,2853837.0,81875.71734174043,1.0,0.0,0.6479683512205339,0.007718958511237338,804239.3,32105.490027574728,4548.55,189.31242002925566,8497.233333333334,356.6435161668221,31326.276439825495,1187.6473593185426,176.3215171620123,5.637563068863352,330.063934523583,11.918305662143986,133.7973916903203,5.372475290123767,0.00566961842897378,0.00013009201324861848,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,sparse,RAWA-NoPacking-EqEval,0.6900777347108313,0.013508906517182897,0.6900777347108313,0.013508906517182897,0.6302083333333334,0.014570721948088648,1071.0761490907717,3.280097058522958,1115.5614835249874,4.262647200356366,128.92385090922826,3.2800970585229607,48.9238509092283,3.2800970585229607,109.02929062803774,1.2293888846499976,0.20744408894211439,0.026818790453183135,0.011081406640817514,0.0016610853493987325,0.0243822177920033,0.004571513795982644,8.906510306184646,0.31031937114765196,11.11985383998544,11.914814212222698,12.13685967499623,1.75,0.0,21.166666666666668,0.4662631023388367,0.4196706005058484,0.008918057828638328,0.485309277473515,0.4954459276682673,0.5036457025182798,0.9186082226091821,0.013504774137644142,1.0077859554963648,1.0475452535606162,1.062850398971932,0.9530076343570837,0.016030635467991116,1.072785216806311,1.1359559667965045,1.1460660426283722,0.961950650283446,0.017258701727580213,1.0827503911103118,1.1731492137507302,1.1787146819988266,1291084.6333333333,34062.45401349885,1291084.6333333333,34062.45401349885,2582169.2666666666,68124.9080269977,1.0,0.0,0.49512422165144965,0.006476454282728685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,sparse,RAWA-NoRisk-EqEval,0.7772201870786215,0.012453374697904298,0.7772201870786215,0.012453374697904298,0.7348958333333333,0.013222832573220315,998.1894476399826,3.2958808353647298,1043.1728406488417,3.0665261268078674,201.8105523600175,3.2958808353647395,121.81055236001748,3.295880835364739,109.76228779278685,1.0898359595610592,0.20970717320977425,0.02926455307897581,0.009815671111110731,0.0016114986754755271,5.802316411511826e-05,1.1161312049880119e-05,21.314096563366668,0.6600698291234787,25.924014039331812,27.225010123103274,27.49386379402131,1.75,0.0,24.516666666666666,0.4231306423430501,0.8662805933884384,0.013269221037154593,0.9655059240607125,0.9759792317551957,0.9816798451127916,1.7573049102225924,0.000766992856484612,1.7621543608319188,1.765265501285263,1.768254921998596,1.759942462909326,0.001212277702180497,1.7687288296890618,1.7753443991618465,1.77780578080914,1.7606566724163712,0.0013762013827443656,1.7708597898978042,1.7786583170242374,1.779429070011247,676938.7666666667,13767.21395924025,676938.7666666667,13767.21395924025,2540298.65,27355.722949130057,1.0,0.0,0.449234160138598,0.006781343931069106,1186421.1166666667,14636.957592873461,4993.433333333333,172.9097646551513,9414.775,316.02161200979776,48650.7907062004,1121.0218390976768,203.10456995406633,4.783404339590429,383.8566041833904,10.77429500007922,148.42194592807925,4.909562005334347,0.004212729378135539,0.00014733391346518347,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,sparse,RAWA-BlindReserve-EqEval,0.7683418053646045,0.014678621395784429,0.7683418053646045,0.014678621395784429,0.7177083333333333,0.01607829664848739,1005.058535585828,3.6118506578012948,1049.2511639242227,3.9684783649505877,194.9414644141719,3.6118506578012863,114.94146441417186,3.6118506578012886,109.29321404478046,1.21844082500211,0.1712056812670783,0.022894164843351394,0.0079337262643007,0.0011956768424045917,0.0001098514473073949,2.167527975203211e-05,20.328156599462577,0.6902362584201758,25.031447088261483,25.876052294890975,26.52541260200087,1.75,0.0,23.966666666666665,0.5145054927515965,0.8460004314443291,0.016527910288112475,0.9418393307509959,0.9772760921686946,0.9821859504855064,1.7543906494389618,0.0004078289770233574,1.7580045369155415,1.7596799370192167,1.7613828250177903,1.7571627787492374,0.001163991135908912,1.7657212804116718,1.7733678088170826,1.775900514255045,1.7579605350464893,0.0014452159621069732,1.7689838459598832,1.7782977761968504,1.7820764660136774,406952.75,10158.623938747316,406952.75,10158.623938747316,2267510.7,62919.433726368035,1.0,0.0,0.5352943475496121,0.007853237932740101,1453605.2,51282.129116237265,8708.283333333333,388.60240479390797,17398.875,691.4895844398828,60728.78316632439,1772.5397677357907,361.79416962610514,10.757211909116423,724.5245765316448,20.484715110945192,274.4417317492476,11.213460705997749,0.005975145405259298,0.00011815441313298576,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
severe,sparse,RAWA-NoBeam-EqEval,0.7979613910033696,0.014852221757627153,0.7979613910033696,0.014852221757627153,0.7432291666666667,0.017475873493670087,1067.1191709901072,4.1169434042836635,1114.6208485885525,5.094270724128742,132.88082900989278,4.1169434042836475,52.88082900989275,4.1169434042836475,115.21694541968401,1.3609134524125213,0.14887306586365756,0.020919918220105284,0.006547586970034201,0.00099792596357448,0.02213858894303524,0.005295517394968811,14.864546834284557,0.7373570605616075,20.38261527362338,20.549371523500884,20.61252751300344,1.75,0.0,24.783333333333335,0.5592279517974428,0.5954816874999179,0.019917396915253512,0.728542351064074,0.7442879342170138,0.7563336865989387,1.4564172069719155,0.08304583149797981,1.9373843519038927,1.9751822238581949,1.9833800437045284,1.6430408801775676,0.07519217373055448,1.979123104430677,1.9957289281752717,2.000859733099933,1.6878555657332375,0.07473554737782769,1.9824967679160181,2.0102752200717804,2.016100755019579,537478.0333333333,14074.835237163938,537478.0333333333,14074.835237163938,2507625.716666667,52502.40191580732,1.0,0.0,0.16488621822202668,0.007738894822753326,1432669.65,25050.213136325405,2057.5333333333333,108.75393903054334,4067.6,201.45050190760224,57915.79523617879,373.0629054191397,82.2322408956888,2.8005498119673073,162.9319514204237,5.413900775446896,64.02950741760289,3.0417221546954427,0.0014230446278298981,5.335516948757357e-05,1.0,0.0,1.0,0.0,0.0,0.0,0.0,60
