seed,wind_level,obstacle_density,planner,n_targets,visited_targets,coverage_ratio,weighted_coverage,safe_weighted_coverage,mission_success,collected_value,total_value,energy_used,planned_policy_budget,final_battery,reserve_margin,reserve_shortfall,mission_time,return_success,battery_violation,path_risk_accumulated,clearance_violation_rate,min_clearance,emergency_abort,actual_gust_multiplier,route,route_node_ids,runtime_seconds
85,moderate,cluttered,WindAwareGreedy,32,15,0.46875,0.5118110236220472,0.0,False,32.5,63.5,1382.089153276658,1348.2030633181098,-182.0891532766579,-262.0891532766579,True,102.98137492854676,False,True,0.1969187838057434,0.0132527863287108,2.0,True,3.0,8.000:8.000|29.736:44.569|38.899:66.231|52.565:48.940|46.033:40.462|60.212:63.891|48.150:71.049|52.871:66.394|38.420:54.751|35.007:53.834|35.503:50.314|21.129:50.833|30.012:58.830|31.570:61.412|25.892:91.393|25.357:93.845|8.000:8.000,0-29-22-3-31-23-17-7-25-27-26-24-15-11-32-2-0,0.0013184531126171
85,moderate,cluttered,ReserveOnlyPlanner,32,15,0.46875,0.4803149606299212,0.4803149606299212,True,30.5,63.5,1086.8077710080584,1201.1610304736394,113.19222899194176,33.19222899194175,False,90.87728353044255,True,False,0.2051913340030788,0.0140332269979302,2.0,False,3.0,8.000:8.000|29.736:44.569|35.007:53.834|38.899:66.231|48.150:71.049|60.212:63.891|52.565:48.940|46.033:40.462|38.420:54.751|35.503:50.314|21.129:50.833|30.012:58.830|31.570:61.412|52.871:66.394|57.785:66.352|40.561:30.079|8.000:8.000,0-29-27-22-17-23-3-31-25-26-24-15-11-7-18-19-0,0.0013896669261157
85,moderate,cluttered,FairRiskAwareGreedy,32,15,0.46875,0.5118110236220472,0.5118110236220472,True,32.5,63.5,1074.4000468517029,1123.8177922252664,125.599953148297,45.59995314829701,False,113.95593040028454,True,False,0.0025105861506959,0.0001570320267614,2.8284271247461903,False,3.0,8.000:8.000|56.509:15.834|84.457:10.947|69.507:46.820|38.899:66.231|48.150:71.049|29.736:44.569|46.033:40.462|40.561:30.079|35.007:53.834|38.420:54.751|35.503:50.314|21.129:50.833|30.012:58.830|31.570:61.412|52.871:66.394|8.000:8.000,0-1-30-16-22-17-29-31-19-27-25-26-24-15-11-7-0,0.001820620149374
85,moderate,cluttered,FairALNSPlanner,32,11,0.34375,0.4094488188976378,0.4094488188976378,True,26.0,63.5,688.4943306396776,790.6378971521801,511.5056693603226,431.5056693603226,False,77.1741229751661,True,False,0.0633490102970871,0.0053617536907769,2.0,False,3.0,8.000:8.000|56.509:15.834|84.457:10.947|88.742:13.733|69.507:46.820|79.985:63.739|78.174:53.353|73.623:60.115|64.798:66.141|60.212:63.891|57.785:66.352|52.565:48.940|8.000:8.000,0-1-30-6-16-4-28-9-14-23-18-3-0,12.83190198801458
85,moderate,cluttered,RAWA-RHP,32,24,0.75,0.8031496062992126,0.8031496062992126,True,51.0,63.5,1017.2075021501496,1163.6996581474748,182.79249784985035,102.79249784985036,False,122.30751256473356,True,False,0.0606393968926866,0.0024749440774414,2.0,False,3.0,8.000:8.000|46.033:40.462|29.736:44.569|35.503:50.314|38.420:54.751|35.007:53.834|30.012:58.830|31.570:61.412|38.899:66.231|48.150:71.049|52.871:66.394|52.565:48.940|57.785:66.352|60.212:63.891|64.798:66.141|73.623:60.115|79.985:63.739|78.174:53.353|69.507:46.820|64.767:36.251|62.701:29.449|84.457:10.947|88.742:13.733|56.509:15.834|40.561:30.079|8.000:8.000,0-31-29-26-25-27-15-11-22-17-7-3-18-23-14-9-4-28-16-5-8-30-6-1-19-0,71.55931450705975
86,severe,cluttered,NearestNeighbor,32,15,0.46875,0.4444444444444444,0.0,False,26.0,58.5,1442.563412118051,1423.5080699617426,-242.56341211805056,-322.56341211805056,True,78.65849170176372,False,True,0.3710262735403786,0.0270752158351702,2.0,True,3.0,8.000:8.000|41.932:11.822|51.328:16.937|52.340:18.681|59.486:22.852|55.896:38.460|54.291:41.916|56.520:49.741|45.324:58.519|39.150:63.750|28.607:63.350|25.070:61.100|30.167:69.453|24.249:80.928|14.133:76.418|14.852:70.000|8.000:8.000,0-20-26-19-17-13-4-1-22-21-9-6-3-11-8-5-0,0.0014850420411676
86,severe,cluttered,ValuePerDistance,32,12,0.375,0.452991452991453,0.0,False,26.5,58.5,1791.8860457302676,1809.482740676125,-591.8860457302676,-671.8860457302676,True,85.57986348958552,False,True,0.1721102950837409,0.0134288694533909,2.0,True,3.0,8.000:8.000|51.328:16.937|52.340:18.681|54.291:41.916|55.896:38.460|56.520:49.741|78.468:58.254|86.717:62.878|91.128:79.622|90.597:85.429|83.166:88.070|65.357:87.927|47.530:97.149|8.000:8.000,0-26-19-4-13-1-15-30-12-23-25-28-18-0,0.0009908590000122
86,severe,cluttered,WindAwareGreedy,32,13,0.40625,0.4871794871794871,0.0,False,28.5,58.5,2096.1110020414417,2240.686215055094,-896.1110020414413,-976.1110020414412,True,101.94885646465676,False,True,0.3474392556318447,0.0283778482677167,2.0,True,3.0,8.000:8.000|51.328:16.937|54.291:41.916|55.896:38.460|56.520:49.741|78.468:58.254|86.717:62.878|91.128:79.622|83.166:88.070|65.357:87.927|63.568:68.069|58.651:67.931|83.960:71.019|90.597:85.429|8.000:8.000,0-26-4-13-1-15-30-12-25-28-24-32-29-23-0,0.001170934876427
86,severe,cluttered,ReserveOnlyPlanner,32,8,0.25,0.282051282051282,0.282051282051282,True,16.5,58.5,994.4039863739354,1171.121934287075,205.5960136260647,125.59601362606467,False,52.12341447638458,True,False,0.2140918035955412,0.0250096275058233,2.0,False,3.0,8.000:8.000|51.328:16.937|52.340:18.681|54.291:41.916|55.896:38.460|56.520:49.741|45.324:58.519|39.150:63.750|27.894:48.977|8.000:8.000,0-26-19-4-13-1-22-21-7-0,0.0008486250881105
86,severe,cluttered,FairRiskAwareGreedy,32,5,0.15625,0.1794871794871795,0.1794871794871795,True,10.5,58.5,664.9243339815762,720.3108463049132,535.0756660184238,455.0756660184238,False,54.15530788953643,True,False,0.0014773408622589,0.0002462955161204,4.0,False,3.0,8.000:8.000|19.954:45.025|51.328:16.937|84.443:19.099|90.365:24.305|41.932:11.822|8.000:8.000,0-14-26-16-27-20-0,0.0007089430000633
